P4,P5,P6,X,Y
0.12,0.0,0.0,0.0719789174603538,-0.08529372960504676
0.28,0.23,0.0,0.06682608846237588,-0.03553967156133002
0.0,0.0,0.19,-0.06304235935450912,-0.04900307038957143
0.0,0.0,0.97,-0.6112262039744458,-0.8665088439038307
1.45,0.0,1.72,-0.19141954101758235,-0.9923063187720448
0.68,0.0,0.68,-0.3504220470949785,-0.21902576390321848
0.0,1.52,0.68,-0.09743435328283237,0.0040853801073834906
1.44,0.0,1.7,-0.20947310260528346,-1.1029798204920123
0.0,0.0,0.67,-0.5109796772172478,-0.7740990194476659
0.0,1.03,1.4,-0.19232888825881325,-0.36802608251999913
0.0,0.0,0.91,-0.3684017191267316,-0.9889516433714888
0.99,0.1,0.0,0.28788777254535974,-0.42423311183484613
1.07,1.31,0.0,0.3404001460751146,0.1299935907068014
0.0,0.19,1.03,-0.4401834183202042,-0.9489481338438248
0.22,0.0,0.6,-0.4171703503167398,-0.6680592931050227
0.0,0.68,0.0,-0.3187770975777926,-0.37140204059061105
0.0,0.0,1.32,-0.38026227956310177,-0.5049539290995677
1.55,0.0,1.52,-0.17053899656242472,-1.45881339028525
1.27,0.0,1.47,-0.0477533858387678,-1.5339086796417853
0.0,0.0,0.86,-0.4659846004229634,-0.5651907990413387
0.78,0.29,0.0,-0.05559316263987437,-0.6172286553995444
0.0,0.24,1.26,-0.42691366359752386,-0.6837637207011005
0.79,0.46,0.0,-0.05853109702919978,0.10511474525392463
0.0,0.56,0.0,-0.19728466440772505,-0.7226535686588683
0.32,1.15,0.0,-0.3849728682027827,-0.18926870950332478
0.03,0.11,0.0,-0.2530524932616134,-0.6120290844199026
1.75,1.14,0.0,0.25159838207398655,-0.5846347406359783
1.66,0.0,0.0,0.17995868162834122,-0.52628890313577
0.0,1.53,1.2,-0.39470373713027673,-0.5313133427424913
1.46,0.2,0.0,0.20278432110011174,-0.6059770437712135
0.0,0.0,1.31,-0.5700669707476196,-0.787385632484314
1.21,0.0,1.68,-0.1412326542830885,-1.1970118495611795
1.44,0.0,1.13,-0.11175449484060712,-0.9312040632099485
1.59,0.0,0.47,0.07925678713494061,-0.7490289113540863
0.91,0.0,0.13,-0.1968391798254348,-0.4675500500645003
0.55,0.0,0.69,-0.39203804871288644,-0.8154821798774476
0.0,0.9,1.38,-0.2255565398086328,-0.35583326754438727
1.45,0.0,0.85,-0.14028752012726944,-1.0547224820211785
0.68,0.0,0.07,-0.174152611019792,-0.8288519025178832
0.53,0.0,1.04,-0.45639661399927456,-0.5929528774831847
0.0,1.76,0.55,-0.09199514809135845,-0.32509111223340476
1.56,0.0,0.21,0.26674488667848323,-0.7349057155109548
0.49,0.0,0.25,-0.3364645299390707,-0.7625674634677382
1.79,0.0,0.0,0.4219816783602948,-0.8473064090420782
0.01,0.77,0.0,-0.32111524694842936,-0.4305672918945793
0.36,0.57,0.0,-0.10637619402251333,-0.33065764764444744
1.41,0.0,1.67,-0.09720268983702085,-1.2880641965247293
0.56,0.23,0.0,-0.2621374524191201,-0.5676005798286667
1.31,1.25,0.0,0.07072237645623067,0.025893270521762615
1.75,1.69,0.0,0.2106207701153435,-0.6266912504160307
0.0,0.85,0.7,-0.4278630481077632,0.0553080452171731
0.85,0.0,0.39,-0.24367792774156216,-0.7861272601389305
1.76,0.0,0.25,0.29388801057509856,-0.7543945528807183
0.44,0.53,0.0,-0.20629075134359376,-0.6938110168960657
0.0,0.14,1.7,-0.4778445307829806,-0.337370672761549
0.18,0.0,0.0,-0.3384904870863736,-1.0314685372073327
0.99,0.0,0.0,-0.08014553587040804,-0.8067745195668523
0.46,0.0,1.23,-0.41575079201228193,-0.7985662414919614
0.0,0.29,0.0,-0.3395117502848987,-0.7181002326548726
1.18,0.54,0.0,0.03390826785000166,-0.628393277786376
0.0,1.68,0.0,-0.25934022304457716,-0.139778372430614
0.0,1.69,0.91,-0.12664731015016256,-0.30244136630069796
0.0,0.0,0.98,-0.32597961767851824,-0.8107176029437981
0.0,0.99,0.0,-0.17146378375537424,-0.31181963904168286
1.67,0.6,0.0,0.10794633280525517,-0.43268597595306546
1.7,0.0,0.68,0.029525426274502123,-1.1551544452722078
0.0,0.13,1.15,-0.468467560877516,-0.8349692507217022
0.81,0.0,0.0,-0.1890938851541905,-0.6390711386410804
0.41,0.0,0.03,-0.14861570960951043,-0.6578762959336529
0.0,1.25,1.78,-0.29524588375816013,-0.7411420530411179
1.34,1.52,0.0,0.15425332358498958,-0.16949497211486766
0.0,1.73,0.69,-0.23217919435537757,-0.05120340221020592
1.03,0.0,0.65,-0.054290802379737185,-0.2598385519072586
1.5,0.0,0.15,0.17735511099631754,-0.9302523581401639
0.0,0.18,1.28,-0.4578226223841835,-0.23918435094037183
1.45,1.25,0.0,0.17168498035523758,-0.6587718650788803
0.93,1.58,0.0,0.06654561635244723,-0.49101677115870057
0.29,0.07,0.0,-0.37016398126200795,-0.6071502517029369
0.0,1.78,0.17,-0.34503017775666944,0.12587904502581643
0.0,1.06,1.61,-0.2543479869477621,-0.7513872062705252
0.13,0.0,0.99,-0.4738986766562498,-0.4408555894574836
0.54,0.85,0.0,-0.20242205114031633,-0.09176557903309052
1.44,0.0,1.19,-0.11215448887079271,-1.2319932118055676
1.15,0.77,0.0,0.26274487191624224,-0.5637015578289549
0.01,0.0,0.61,-0.34969613409704003,-0.6275137733067261
0.0,0.79,1.67,-0.10241264669785063,-0.7885298230008093
1.03,0.0,0.3,-0.13789573794324916,-0.759150626845639
1.14,0.0,0.98,-0.0582197794138488,-0.5907090980094913
1.16,1.08,0.0,0.39252464472816595,-0.4647151444327633
0.0,1.33,1.48,-0.3145748445034822,-0.6672062646218719
0.0,1.32,0.64,-0.03890035893096708,-0.4054493460178852
0.0,0.03,0.92,-0.29594242649866664,-0.7820343775419423
0.0,0.47,1.37,-0.4585525594599324,-0.3309767614489077
0.0,0.55,1.15,-0.44568796978412656,-0.201885219649381
1.68,1.55,0.0,0.09125631729315377,-0.3760171696423521
0.0,0.89,0.35,-0.28788194255539507,-0.39736093022327645
0.3,0.49,0.0,-0.2123438821147029,-0.461388840456748
0.0,0.83,1.1,-0.20380553511022506,-0.5315218350374291
1.18,0.0,0.0,0.12549449783364375,-0.7277557698007139
1.48,0.0,1.26,-0.08769242384343631,-1.4271159967216924
0.0,1.68,0.38,-0.1675588639321971,-0.3930236868333891
1.73,1.03,0.0,0.0685811185157241,-0.16597396379971385
0.59,0.31,0.0,-0.289523660308307,-0.577330110078181
0.0,0.94,0.48,-0.3222484888529996,-0.3909977815028989
1.14,1.32,0.0,-0.01864915594357486,-0.13741517583629964
0.0,0.99,0.5,-0.29582818269624334,-0.43183927580410686
0.81,0.01,0.0,-0.0965139247261956,-0.43662907549421154
0.0,1.13,0.71,-0.25119184722251753,-0.32368268970130837
0.0,0.54,0.4,-0.39052344246327275,-0.3903262848331119
1.22,0.0,1.01,-0.12244644701324955,-0.9743282439016572
0.0,0.0,0.15,-0.32601337214155335,-1.1218410791693338
1.56,0.0,0.0,0.10968254592080523,-1.0658807822227887
0.0,0.0,0.5,-0.41214841217850495,-1.070916496476279
1.74,0.0,0.68,-0.04597569959010603,-1.0669544667980944
1.04,0.0,1.68,-0.21140239020141635,-1.145046101417634
0.0,0.0,0.4,-0.42410797407803447,-0.6730867393801605
1.77,0.03,0.0,0.35799385655203936,-0.9634399640363797
0.4,0.0,1.56,-0.5625634400740069,-0.480826182813249
0.22,1.55,0.0,-0.25347600922160585,0.26381306009041267
0.0,0.0,0.6,-0.34754742641199726,-0.7478600152569802
0.0,0.0,1.16,-0.37730132062896815,-0.6532416378444332
0.16,0.78,0.0,-0.1975743418913734,-0.2492442509819787
1.51,0.93,0.0,0.06170538860641387,-0.3757263962979962
1.18,1.46,0.0,0.20125306666837098,-0.2396647708156578
0.0,1.24,1.26,-0.36647132987529496,-0.6389647910734253
1.63,0.55,0.0,0.20102953356087225,-0.9441207497419312
0.91,1.24,0.0,0.07115272521616768,-0.10809693797769074
0.0,1.27,1.0,-0.19205759787743845,-0.6078217447756078
1.74,0.09,0.0,0.30468331070753224,-1.1574165374483496
0.0,0.47,0.0,-0.247264172819787,-0.5554238223328339
0.0,1.1,0.65,-0.2875675786772181,-0.38788584319745156
1.31,0.23,0.0,0.11770088546878765,-0.7758778829712029
0.0,0.36,1.38,-0.384018826269541,-0.6230391135699841
0.0,0.57,1.49,-0.36099819779408954,-0.28122576041184083
1.67,0.0,1.4,0.011579738121083472,-1.2782420020963423
0.38,1.15,0.0,-0.20937771140482975,0.1435392354561153
0.0,0.11,1.65,-0.2599437529773353,-0.4080811655542928
1.63,0.86,0.0,0.2363324362038069,-0.5836907712814188
0.0,1.47,1.59,-0.3501355869247561,-0.6571138658708825
1.23,0.92,0.0,0.010248167049621244,-0.20798481283974726
1.8,0.0,1.12,-0.10161479339842384,-1.025492275264861
0.0,1.64,1.64,-0.3278498500112298,-0.6788217606570176
1.22,1.76,0.0,0.08574323024337635,-0.03798440715997861
0.0,0.66,1.03,-0.22107057646697073,-0.8120623070158435
0.0,0.0,1.22,-0.2454237132113603,-0.5258567441374432
0.0,1.45,0.69,-0.1611432469007024,-0.5460293052982637
0.0,0.0,0.91,-0.2799060111239489,-0.8223102791923522
0.0,0.12,0.46,-0.32407885419695115,-0.7548410427665965
1.55,1.27,0.0,0.06406577631993829,-0.42748021677265036
1.16,0.0,1.21,-0.06412403601604313,-1.0119700620938958
0.92,0.0,0.81,-0.19445322603699497,-0.6723114304303676
1.03,0.0,0.0,-0.03275695375064399,-0.4560860283829503
1.14,0.0,1.03,-0.0098619707077592,-0.527309395444836
0.57,0.82,0.0,-0.02742163241722027,-0.7333971108700629
0.2,0.0,1.04,-0.29443091393369836,-0.758230709216512
0.0,0.67,1.68,-0.1703593849441365,-0.7803630453080583
0.0,1.1,0.0,-0.1220310409540605,-0.4750548404037368
0.0,0.35,0.62,-0.49090111192791347,-0.5703239940617493
1.64,0.9,0.0,0.2682749674667276,-0.5337324722911272
0.0,0.0,0.75,-0.3676552570571348,-0.5996830622449517
0.41,0.0,0.29,-0.3735778013988268,-0.37496442586662604
0.0,1.54,0.0,-0.11527301660618337,-0.14635626996920462
0.0,1.7,0.0,-0.13008650793735466,-0.14731164189136306
0.0,0.26,1.78,-0.1313536429651847,-0.8339335658880672
0.34,0.0,0.0,-0.3029142073095301,-0.6433351097466301
0.0,1.05,1.03,-0.23949767013160808,-0.7918106856987749
0.0,1.13,1.2,-0.3978222501554484,-0.3682376056484682
0.0,1.45,1.36,-0.3875157476377304,-0.35412235660460023
0.79,0.0,1.28,-0.16565408039970292,-0.6049886596980162
0.0,0.82,0.88,-0.38206581951400087,-0.6359472156665056
0.0,0.36,0.0,-0.35819645813884704,-0.5540328094786824
1.4,0.5,0.0,0.22032656866979464,-0.775123549333495
0.0,0.43,1.25,-0.38570411118771103,-0.31615015093806614
0.0,0.0,0.66,-0.38019347273072235,-0.7456309474899274
0.0,0.35,0.61,-0.40527484214632825,-0.7325025838603486
1.48,0.0,0.0,0.05279904588022673,-0.5420199190786075
1.55,1.63,0.0,0.011075515354755684,-0.2710885926952653
1.47,0.0,0.48,-0.006531234338498781,-1.077711675640556
0.48,0.0,0.14,-0.1938778109631188,-1.0293923718189648
1.67,0.0,0.57,0.1868847530153243,-0.9288547112838741
0.0,0.76,0.99,-0.5263445088148365,-0.32163810389835823
0.0,1.44,0.38,-0.29286324378743117,0.013458555668173472
1.39,0.0,0.34,-0.11369212264151728,-0.66338438540474
1.65,1.76,0.0,0.2001275875417052,-0.43088355261057804
0.0,1.4,0.0,-0.21180040963754262,-0.0123386872572014
0.0,0.6,0.27,-0.2308716444006222,-0.5581772084067139
0.0,0.02,0.0,-0.38651911365779357,-0.6805109673002192
1.09,0.77,0.0,0.0433303351003418,-0.41061443480794724
0.46,0.0,1.2,-0.21899415360840102,-0.7143629837713389
0.65,1.02,0.0,-0.02237969512688637,-0.2907405393389303
0.0,0.89,0.0,-0.3219279452431718,-0.5963120642038391
1.34,0.92,0.0,0.04898962414318301,-0.6079607268044941
0.0,1.66,0.01,-0.20209662521444952,-0.2119914149802837
1.61,1.47,0.0,0.0123736929619024,-0.5127047042605697
0.75,0.63,0.0,-0.2267279845223347,-0.3708646222767059
1.6,1.04,0.0,0.2539862287557291,-0.5968700744708934
0.0,0.46,1.62,-0.216425327938717,-0.7183402537226913
0.0,0.62,0.14,-0.19160673821812324,-0.4976320291250204
0.12,0.74,0.0,-0.09863770394775212,-0.34068195283761404
0.24,1.01,0.0,-0.11978421525869246,-0.2365071582346934
0.22,0.0,0.0,-0.3533978011605177,-0.5442202090783498
1.2,0.26,0.0,-0.12054305660460565,-0.3082714217734084
0.0,1.59,0.33,-0.19510707497329843,-0.5153339489683758
0.22,0.0,0.0,-0.2575517406928598,-0.4593827625997566
0.0,0.69,0.63,-0.4691056647068746,-0.4511432463833187
1.66,0.01,0.0,0.10609341741528869,-0.8222294207851792
0.09,0.0,1.46,-0.403950676748151,-0.7660608431980789
0.77,0.05,0.0,-0.03164983224748423,-0.7211282538468987
0.45,1.13,0.0,-0.14324541904781124,-0.1618906545037495
0.0,1.78,0.0,-0.15492705533260803,-0.25789396299739503
0.0,1.13,0.0,-0.0785342452100608,-0.2277794957415442
0.17,0.0,0.54,-0.19363848929745375,-0.5091148341689468
1.05,0.0,1.02,-0.10207898954119522,-0.7865608301264957
0.0,1.07,1.11,-0.1599399428220825,-0.5638976113993895
1.51,0.0,0.71,0.1853007645169514,-1.0259065435940111
0.03,0.0,0.16,-0.3364477192737189,-1.0055375444131143
1.46,0.0,0.26,0.054198665123208575,-0.9280830449706712
1.34,0.0,0.0,0.09864780879531693,-0.8034717373062157
0.51,1.11,0.0,-0.09721531332600229,-0.28605871204698974
0.0,1.11,0.09,-0.36518682116041684,-0.17817623124959853
1.0,0.68,0.0,0.05567522606081075,-0.2348340984660036
0.0,0.23,0.0,-0.2600902246696088,-0.9529074419238284
1.25,0.78,0.0,0.15581869260487166,-0.33851812873753806
0.0,1.24,0.0,-0.332125457283748,-0.19816253763735125
1.27,0.13,0.0,0.1298224748489054,-0.42097424074587775
0.31,0.0,1.44,-0.2823273129829286,-0.9654183943212229
0.0,1.11,1.25,-0.18209938389799313,-0.7173589224681555
0.0,0.47,0.01,-0.2370528644194289,-0.2846767222285548
0.37,0.68,0.0,-0.1820398276523421,-0.2467154343650921
1.25,0.98,0.0,0.24427564182496353,-0.7089515650477981
0.0,0.28,1.26,-0.4353952336484417,-0.4803189625484332
0.0,1.75,0.27,-0.0761100382877926,-0.3299503623608423
1.71,1.68,0.0,0.1532858249689432,-0.36561180033992124
0.79,0.0,0.0,-0.07716818672000464,-0.593486224525716
0.44,0.0,0.69,-0.39582600222133535,-0.40613960545231387
0.0,1.6,1.44,-0.2537998461100377,-0.8690033593343682
0.0,1.11,1.53,-0.4192692268290459,-0.7202062394465276
1.11,0.98,0.0,0.05582795393741388,-0.4550319850764527
0.46,0.0,0.43,-0.1553393509080694,-0.6603895099044514
0.0,1.18,0.0,-0.1608721586330834,-0.17186595565317153
1.43,0.0,1.41,-0.1636102622646763,-1.2138662263893805
0.35,0.0,1.02,-0.35579479082344356,-0.5865151944514935
1.16,0.0,0.0,-0.061590903783615966,-0.4957200698280808
0.0,1.8,1.46,-0.3655486847344942,-0.5784648908877967
0.29,0.0,0.0,-0.31137378035313695,-0.7307218793198311
0.0,0.76,0.13,-0.34852918221669915,-0.5817263468902623
0.0,0.87,0.33,-0.3603484554224467,-0.2436724528967161
0.0,1.25,0.08,-0.14524260023602723,-0.20760294104612392
0.26,0.0,0.0,-0.3650225719337653,-0.4864310769412955
0.0,0.0,0.96,-0.41739684789550113,-0.3077887498623596
1.39,0.0,0.82,-0.3119467142936779,-0.6971723803351739
